Techstack,Links
"React, Node.js, MongoDB",https://github.com/johndoe/react-portfolio
"Angular,.NET, SQL Server",https://github.com/johndoe/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL",https://github.com/johndoe/vue-portfolio
"Python, Django, MySQL",https://github.com/johndoe/python-portfolio
"Java, Spring Boot, Oracle",https://github.com/johndoe/java-portfolio
"Flutter, Firebase, GraphQL",https://github.com/johndoe/flutter-portfolio
"WordPress, PHP, MySQL",https://github.com/johndoe/wordpress-portfolio
"Magento, PHP, MySQL",https://github.com/johndoe/magento-portfolio
"React Native, Node.js, MongoDB",https://github.com/johndoe/react-native-portfolio
"iOS, Swift, Core Data",https://github.com/johndoe/ios-portfolio
"Android, Java, Room Persistence",https://github.com/johndoe/android-portfolio
"Kotlin, Android, Firebase",https://github.com/johndoe/kotlin-android-portfolio
"Android TV, Kotlin, Android NDK",https://github.com/johndoe/android-tv-portfolio
"iOS, Swift, ARKit",https://github.com/johndoe/ios-ar-portfolio
"Cross-platform, Xamarin, Azure",https://github.com/johndoe/xamarin-portfolio
"Backend, Kotlin, Spring Boot",https://github.com/johndoe/kotlin-backend-portfolio
"Frontend, TypeScript, Angular",https://github.com/johndoe/typescript-frontend-portfolio
"Full-stack, JavaScript, Express.js",https://github.com/johndoe/full-stack-js-portfolio
"Machine Learning, Python, TensorFlow",https://github.com/johndoe/ml-python-portfolio
"DevOps, Jenkins, Docker",https://github.com/johndoe/devops-portfolio
